what,kind,bundleId,bundleVersion,description,time
started,bundle,com.bstek.ide.internal,0.5.0.201406201759,"com.bstek.ide.internal",1487208745645
started,bundle,com.bstek.ide.jetty,1.0.0.201406201759,"com.bstek.ide.jetty",1487208745645
started,bundle,com.bstek.ide.ui.navigator,1.0.0.201406201759,"com.bstek.ide.ui.navigator",1487208745645
started,bundle,org.bsdn.dailysplash,1.0.1.201406201759,"org.bsdn.dailysplash",1487208745645
started,bundle,com.aptana.ide.core,2.0.5.201108291541,"com.aptana.ide.core",1487208745645
started,bundle,com.aptana.ide.core.ui,2.0.5.201108291541,"com.aptana.ide.core.ui",1487208745645
started,bundle,com.aptana.ide.epl,2.0.5.201108291541,"com.aptana.ide.epl",1487208745645
started,bundle,com.bstek.ide.common,1.2.7.201207311458,"com.bstek.ide.common",1487208745645
os,sysinfo,,,"win32",1487208745676
arch,sysinfo,,,"x86_64",1487208745676
ws,sysinfo,,,"win32",1487208745676
locale,sysinfo,,,"zh_CN",1487208745676
processors,sysinfo,,,"4",1487208745676
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1487208745676
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1487208745676
java.specification.name,sysinfo,,,"Java Platform API Specification",1487208745676
java.specification.vendor,sysinfo,,,"Oracle Corporation",1487208745676
java.specification.version,sysinfo,,,"1.8",1487208745676
java.vendor,sysinfo,,,"Oracle Corporation",1487208745676
java.version,sysinfo,,,"1.8.0_121",1487208745676
java.vm.info,sysinfo,,,"mixed mode",1487208745676
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1487208745676
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487208745676
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1487208745676
java.vm.specification.version,sysinfo,,,"1.8",1487208745676
java.vm.vendor,sysinfo,,,"Oracle Corporation",1487208745676
java.vm.version,sysinfo,,,"25.121-b13",1487208745676
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1487208745723
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1487208745754
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1487208746441
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1487208751557
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1487208751557
started,bundle,com.bstek.ide.dashboard.editor,0.5.0.201406201759,"com.bstek.ide.dashboard.editor",1487208756860
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1487208757266
started,bundle,com.bstek.ide.core2,0.5.0.201406201759,"com.bstek.ide.core2",1487208757282
opened,editor,com.bstek.ide.dashboard.editor,0.5.0.201406201759,"com.bstek.ide.dashboard.editor.DashboardEditor",1487208757329
activated,editor,com.bstek.ide.dashboard.editor,0.5.0.201406201759,"com.bstek.ide.dashboard.editor.DashboardEditor",1487208758589
activated,view,com.bstek.ide.ui.navigator,1.0.0.201406201759,"com.bstek.ide.ui.DoradoExplorer",1487208760470
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1487208762572
started,bundle,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.common.editor",1487208762728
opened,editor,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.editor.PropertyFileEditor",1487208763259
activated,editor,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.editor.PropertyFileEditor",1487208763337
closed,editor,com.bstek.ide.dashboard.editor,0.5.0.201406201759,"com.bstek.ide.dashboard.editor.DashboardEditor",1487208765520
activated,view,com.bstek.ide.ui.navigator,1.0.0.201406201759,"com.bstek.ide.ui.DoradoExplorer",1487208778344
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1487208779212
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1487208779212
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1487208780752
started,bundle,runjettyrun.jetty7,1.3.4,"runjettyrun.jetty7",1487208781105
started,bundle,runjettyrun.jetty8,1.3.4,"runjettyrun.jetty8",1487208781120
started,bundle,runjettyrun.jetty9,1.3.4,"runjettyrun.jetty9",1487208781120
started,bundle,runjettyrun,1.3.4,"runjettyrun",1487208781136
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1487208781167
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1487208781261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208781980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208811254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208813490
started,bundle,com.bstek.ide.notifications,0.5.0.201406201759,"com.bstek.ide.notifications",1487208814520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208820431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208822182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208825928
activated,editor,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.editor.PropertyFileEditor",1487208827530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208835821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487208842574
activated,view,com.bstek.ide.ui.navigator,1.0.0.201406201759,"com.bstek.ide.ui.DoradoExplorer",1487208844822
activated,editor,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.editor.PropertyFileEditor",1487208846418
activated,view,com.bstek.ide.ui.navigator,1.0.0.201406201759,"com.bstek.ide.ui.DoradoExplorer",1487208846481
closed,editor,com.bstek.ide.common.editor,1.2.7.201207311458,"com.bstek.ide.editor.PropertyFileEditor",1487208846481
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1487208849849
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1487208849849
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1487208849864
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1487208849864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1487208851455
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1487208854464
